order_id,order_date,store_id,customer_type,order_amount,items_count,customer_rating
ORDNE01240102878C,2024-01-02,NE01,new,388.76,12,3
ORDNE01240102C04F,2024-01-02,NE01,returning,332.13,1,1
ORDNE01240102DED3,2024-01-02,NE01,new,37.80,5,2
ORDNE01240102AA47,2024-01-02,NE01,returning,234.36,2,2
ORDNE01240102A1C7,2024-01-02,NE01,returning,62.39,9,5
ORDNE01240102F8B9,2024-01-02,NE01,new,406.16,4,4
ORDNE012401027B9F,2024-01-02,NE01,returning,350.58,9,3
ORDNE0124010221F7,2024-01-02,NE01,new,31.99,10,3
ORDNE012401028701,2024-01-02,NE01,returning,387.11,11,5
ORDNE012401027812,2024-01-02,NE01,returning,200.94,4,5
ORDNE012401029523,2024-01-02,NE01,returning,197.48,7,5
ORDNE0124010264E4,2024-01-02,NE01,new,271.62,4,4
ORDNE012401027DFF,2024-01-02,NE01,returning,62.34,12,3
ORDNE01240102974E,2024-01-02,NE01,returning,494.33,6,2
ORDNE0124010241AC,2024-01-02,NE01,new,82.15,2,4
ORDNE01240102510A,2024-01-02,NE01,new,494.39,6,1
ORDNE0124010202AD,2024-01-02,NE01,returning,361.56,6,2
ORDNE0124010294D0,2024-01-02,NE01,returning,368.26,1,5
ORDNE01240102F9C4,2024-01-02,NE01,returning,169.17,9,4
ORDNE012401023EF3,2024-01-02,NE01,returning,277.43,7,4
ORDNE012401023AA2,2024-01-02,NE01,new,414.42,5,3
ORDNE0124010214C5,2024-01-02,NE01,returning,34.52,5,4
ORDNE012401028063,2024-01-02,NE01,new,174.20,3,4
ORDNE0124010263A3,2024-01-02,NE01,new,112.44,7,3
ORDNE012401027B53,2024-01-02,NE01,returning,193.00,9,2
ORDNE012401020A3D,2024-01-02,NE01,returning,182.00,1,1
ORDNE01240102CFA6,2024-01-02,NE01,returning,328.39,3,3
ORDNE012401027C07,2024-01-02,NE01,returning,298.16,12,2
ORDNE01240102BD77,2024-01-02,NE01,returning,251.49,2,3
