order_id,order_date,store_id,customer_type,order_amount,items_count,customer_rating
ORDNE01240103C56E,2024-01-03,NE01,returning,216.87,12,3
ORDNE01240103EF23,2024-01-03,NE01,returning,460.73,4,4
ORDNE01240103914F,2024-01-03,NE01,returning,69.83,6,4
ORDNE01240103A301,2024-01-03,NE01,returning,76.78,4,3
ORDNE01240103C2B3,2024-01-03,NE01,new,422.44,2,4
ORDNE012401039923,2024-01-03,NE01,returning,192.78,6,1
ORDNE01240103191C,2024-01-03,NE01,returning,208.32,11,5
ORDNE012401034A6F,2024-01-03,NE01,returning,65.56,3,4
ORDNE01240103AEFB,2024-01-03,NE01,returning,363.17,7,4
ORDNE01240103CF00,2024-01-03,NE01,returning,147.29,1,5
ORDNE012401034041,2024-01-03,NE01,new,109.59,11,1
ORDNE012401037731,2024-01-03,NE01,returning,119.89,12,5
ORDNE01240103587D,2024-01-03,NE01,returning,340.40,3,2
ORDNE01240103D371,2024-01-03,NE01,returning,140.65,12,2
ORDNE0124010376B2,2024-01-03,NE01,returning,463.67,1,2
ORDNE012401038CD3,2024-01-03,NE01,returning,39.30,3,5
ORDNE012401038FE9,2024-01-03,NE01,returning,481.67,2,2
ORDNE0124010300FD,2024-01-03,NE01,new,407.03,1,2
ORDNE012401037F12,2024-01-03,NE01,returning,66.46,9,4
ORDNE01240103A193,2024-01-03,NE01,returning,176.04,12,4
ORDNE012401037E3E,2024-01-03,NE01,new,310.18,5,4
ORDNE012401037991,2024-01-03,NE01,new,141.62,1,3
ORDNE012401036269,2024-01-03,NE01,returning,307.56,12,1
ORDNE012401037B2D,2024-01-03,NE01,returning,151.64,9,2
ORDNE01240103048C,2024-01-03,NE01,returning,487.66,12,4
ORDNE01240103F9FE,2024-01-03,NE01,new,239.67,8,4
ORDNE012401030D9B,2024-01-03,NE01,returning,296.15,6,5
ORDNE012401039675,2024-01-03,NE01,new,143.26,12,4
ORDNE01240103DF3A,2024-01-03,NE01,returning,304.58,5,1
ORDNE01240103E4E9,2024-01-03,NE01,returning,59.47,9,4
ORDNE012401036881,2024-01-03,NE01,returning,171.39,3,1
ORDNE01240103618F,2024-01-03,NE01,returning,151.40,1,2
ORDNE012401034961,2024-01-03,NE01,new,452.33,1,5
ORDNE012401037AD9,2024-01-03,NE01,returning,323.25,5,5
ORDNE01240103855D,2024-01-03,NE01,new,11.81,8,4
ORDNE01240103E35D,2024-01-03,NE01,new,387.88,9,4
ORDNE012401031C90,2024-01-03,NE01,new,115.50,5,5
ORDNE012401033652,2024-01-03,NE01,returning,401.56,4,2
ORDNE01240103DEC9,2024-01-03,NE01,returning,150.44,8,3
ORDNE012401037CC0,2024-01-03,NE01,returning,23.44,12,5
ORDNE01240103AFFD,2024-01-03,NE01,returning,166.20,4,3
ORDNE01240103147E,2024-01-03,NE01,returning,124.41,8,4
ORDNE0124010366B9,2024-01-03,NE01,new,157.89,11,3
ORDNE012401033FEA,2024-01-03,NE01,new,54.62,7,1
ORDNE01240103D3F8,2024-01-03,NE01,returning,498.31,1,2
ORDNE012401036214,2024-01-03,NE01,returning,90.49,3,2
ORDNE01240103273E,2024-01-03,NE01,new,119.45,2,3
ORDNE01240103C174,2024-01-03,NE01,returning,479.63,7,5
ORDNE01240103D491,2024-01-03,NE01,returning,237.32,3,3
ORDNE01240103AC7D,2024-01-03,NE01,new,449.53,4,4
ORDNE022401034CE6,2024-01-03,NE02,returning,121.26,1,4
ORDNE02240103080A,2024-01-03,NE02,new,126.20,2,3
ORDNE022401035345,2024-01-03,NE02,returning,161.29,12,3
ORDNE022401033A7E,2024-01-03,NE02,returning,15.18,2,2
ORDNE0224010373E2,2024-01-03,NE02,returning,207.64,8,3
ORDNE022401037A43,2024-01-03,NE02,returning,12.79,12,1
ORDNE022401036F0E,2024-01-03,NE02,new,387.34,8,4
ORDNE022401037663,2024-01-03,NE02,returning,124.05,9,3
ORDNE02240103A827,2024-01-03,NE02,new,53.64,6,2
ORDNE02240103CED2,2024-01-03,NE02,returning,327.11,12,3
ORDNE02240103E8FB,2024-01-03,NE02,returning,202.17,4,5
ORDNE022401039FC9,2024-01-03,NE02,returning,499.21,7,1
ORDNE0224010376AE,2024-01-03,NE02,returning,166.98,11,1
ORDNE022401038EDA,2024-01-03,NE02,new,185.77,5,5
ORDNE022401033521,2024-01-03,NE02,returning,145.37,4,3
ORDNE022401034D08,2024-01-03,NE02,returning,205.56,7,4
ORDNE022401032AC3,2024-01-03,NE02,new,376.30,10,2
ORDNE022401034270,2024-01-03,NE02,returning,88.99,4,2
ORDNE022401036B2B,2024-01-03,NE02,returning,225.41,12,4
ORDNE0224010339FA,2024-01-03,NE02,new,46.77,5,1
ORDNE022401038C80,2024-01-03,NE02,new,488.30,1,5
ORDNE0224010315EA,2024-01-03,NE02,returning,178.24,3,5
ORDNE0224010310E4,2024-01-03,NE02,returning,292.47,11,2
ORDNE022401037383,2024-01-03,NE02,returning,265.26,5,3
ORDNE0224010373DE,2024-01-03,NE02,new,51.58,11,5
ORDNE02240103AA4E,2024-01-03,NE02,new,57.48,12,3
ORDNE022401038C7E,2024-01-03,NE02,returning,320.44,4,3
ORDNE0224010387B1,2024-01-03,NE02,returning,197.04,6,2
ORDNE022401030DFD,2024-01-03,NE02,returning,188.69,9,1
ORDNE02240103C910,2024-01-03,NE02,new,260.42,4,2
ORDNE022401037B28,2024-01-03,NE02,returning,26.74,11,3
ORDNE022401037D76,2024-01-03,NE02,returning,473.31,5,2
ORDNE022401039A1F,2024-01-03,NE02,returning,402.15,2,3
ORDNE02240103BE30,2024-01-03,NE02,returning,260.82,7,4
ORDNE02240103F7A3,2024-01-03,NE02,returning,237.68,3,2
ORDSE012401032158,2024-01-03,SE01,returning,384.42,5,4
ORDSE012401033D24,2024-01-03,SE01,returning,321.47,4,3
ORDSE01240103E2E5,2024-01-03,SE01,returning,196.76,11,2
ORDSE012401033B6D,2024-01-03,SE01,returning,119.57,2,5
ORDSE0124010319B4,2024-01-03,SE01,new,233.87,1,2
ORDSE012401038D79,2024-01-03,SE01,returning,183.36,6,4
ORDSE012401033DDA,2024-01-03,SE01,returning,109.20,12,3
ORDSE0124010313A5,2024-01-03,SE01,new,485.41,6,3
ORDSE012401034BCD,2024-01-03,SE01,returning,256.06,11,1
ORDSE01240103054C,2024-01-03,SE01,new,337.99,1,4
ORDSE01240103C78C,2024-01-03,SE01,returning,319.01,7,4
ORDSE012401034551,2024-01-03,SE01,new,306.90,10,2
ORDSE0124010381B1,2024-01-03,SE01,new,104.58,3,2
ORDSE01240103E8FD,2024-01-03,SE01,new,437.64,11,1
ORDSE012401034EEE,2024-01-03,SE01,returning,416.47,1,2
ORDSE012401031157,2024-01-03,SE01,returning,274.35,9,5
ORDSE0124010314A3,2024-01-03,SE01,new,120.17,5,5
ORDSE01240103C503,2024-01-03,SE01,returning,305.35,12,4
ORDSE012401035486,2024-01-03,SE01,returning,470.74,7,2
ORDSE012401039A2D,2024-01-03,SE01,new,236.00,8,4
ORDSE0124010394F7,2024-01-03,SE01,new,481.07,4,2
ORDSE012401038D51,2024-01-03,SE01,returning,391.06,9,3
ORDSE012401034021,2024-01-03,SE01,returning,96.24,11,3
ORDSE0124010379BF,2024-01-03,SE01,returning,406.18,1,5
ORDSE01240103CCB8,2024-01-03,SE01,new,114.85,3,3
ORDSE012401038124,2024-01-03,SE01,returning,176.74,11,2
ORDSE012401034546,2024-01-03,SE01,returning,417.06,6,5
ORDSE01240103DEF0,2024-01-03,SE01,returning,468.13,12,4
ORDSE022401032717,2024-01-03,SE02,returning,182.17,10,4
ORDSE022401035EC2,2024-01-03,SE02,returning,256.07,10,3
ORDSE0224010331B2,2024-01-03,SE02,returning,160.96,8,4
ORDSE02240103A69F,2024-01-03,SE02,returning,378.89,4,2
ORDSE02240103CFB3,2024-01-03,SE02,returning,217.36,1,3
ORDSE02240103BBE7,2024-01-03,SE02,new,215.75,9,2
ORDSE022401034889,2024-01-03,SE02,returning,38.83,6,5
ORDSE02240103DBDD,2024-01-03,SE02,returning,76.68,4,4
ORDSE022401037C6C,2024-01-03,SE02,returning,221.44,2,3
ORDSE022401036829,2024-01-03,SE02,new,22.33,1,2
ORDSE022401031F20,2024-01-03,SE02,returning,61.81,1,3
ORDSE02240103ED86,2024-01-03,SE02,new,241.41,5,2
ORDSE0224010382B6,2024-01-03,SE02,returning,269.18,4,1
ORDSE022401038FC6,2024-01-03,SE02,returning,282.09,12,4
ORDSE02240103831A,2024-01-03,SE02,returning,114.75,5,2
ORDSE022401031A38,2024-01-03,SE02,new,326.53,8,5
ORDSE0224010360C2,2024-01-03,SE02,new,367.00,12,1
ORDSE02240103AA5C,2024-01-03,SE02,returning,338.63,3,5
ORDSE02240103C2D0,2024-01-03,SE02,returning,305.19,1,2
ORDSE02240103A458,2024-01-03,SE02,returning,126.75,11,3
ORDSE022401031A7D,2024-01-03,SE02,new,349.80,1,4
ORDSE02240103C2E2,2024-01-03,SE02,returning,49.82,11,5
ORDSE022401037D69,2024-01-03,SE02,new,121.34,8,4
ORDSE022401033A16,2024-01-03,SE02,returning,376.88,9,5
ORDSE0224010343B2,2024-01-03,SE02,new,309.85,3,2
ORDSE022401039909,2024-01-03,SE02,new,157.01,10,4
ORDSE022401032AA5,2024-01-03,SE02,new,86.52,11,2
ORDSE0224010362E2,2024-01-03,SE02,returning,478.88,2,1
ORDSE02240103A55E,2024-01-03,SE02,new,91.80,1,4
ORDSE02240103F3CE,2024-01-03,SE02,new,457.28,6,3
ORDSE02240103CA8E,2024-01-03,SE02,new,426.98,7,2
ORDSE02240103E58C,2024-01-03,SE02,new,209.92,2,3
ORDSE022401036747,2024-01-03,SE02,new,289.97,11,2
ORDSE022401037ED0,2024-01-03,SE02,new,94.62,11,3
ORDSE02240103549B,2024-01-03,SE02,returning,228.97,2,2
ORDSE0224010308A4,2024-01-03,SE02,new,76.04,1,5
ORDSE02240103E673,2024-01-03,SE02,returning,481.60,7,5
ORDSE02240103F461,2024-01-03,SE02,returning,471.76,7,2
ORDSE02240103DDF5,2024-01-03,SE02,returning,433.31,1,2
ORDSE02240103AC6A,2024-01-03,SE02,returning,171.00,1,3
ORDSE0224010328E6,2024-01-03,SE02,new,283.86,11,5
ORDSE02240103BB13,2024-01-03,SE02,new,311.18,10,2
ORDSE02240103AA4A,2024-01-03,SE02,returning,210.97,11,2
ORDSE022401037C05,2024-01-03,SE02,returning,477.42,9,4
ORDSE022401034C06,2024-01-03,SE02,new,110.31,6,1
ORDSE022401035658,2024-01-03,SE02,new,473.25,4,2
ORDSE022401035152,2024-01-03,SE02,returning,151.94,4,3
ORDSE0224010355C2,2024-01-03,SE02,returning,353.59,1,3
ORDMW0124010324EE,2024-01-03,MW01,new,37.99,9,2
ORDMW01240103B765,2024-01-03,MW01,returning,136.85,5,2
ORDMW01240103755C,2024-01-03,MW01,new,381.87,1,5
ORDMW01240103FA85,2024-01-03,MW01,returning,368.85,12,4
ORDMW012401031973,2024-01-03,MW01,new,227.36,5,1
ORDMW01240103B47A,2024-01-03,MW01,returning,482.17,5,2
ORDMW0124010352C0,2024-01-03,MW01,new,192.46,10,5
ORDMW012401037F07,2024-01-03,MW01,returning,417.69,9,5
ORDMW0124010325C2,2024-01-03,MW01,new,71.76,10,2
ORDMW012401036CDC,2024-01-03,MW01,returning,268.55,10,1
ORDMW01240103D22C,2024-01-03,MW01,returning,491.77,3,5
ORDMW01240103C8B7,2024-01-03,MW01,returning,218.47,12,5
ORDMW0124010321AB,2024-01-03,MW01,returning,167.78,11,3
ORDMW0124010391EC,2024-01-03,MW01,returning,290.25,12,4
ORDMW01240103C6D2,2024-01-03,MW01,returning,313.97,11,2
ORDMW012401033117,2024-01-03,MW01,returning,410.64,3,2
ORDMW01240103AD44,2024-01-03,MW01,returning,396.89,5,1
ORDMW01240103A43E,2024-01-03,MW01,returning,78.42,5,4
ORDMW012401039D00,2024-01-03,MW01,new,374.28,6,4
ORDMW0124010341E7,2024-01-03,MW01,new,415.09,2,3
ORDMW0124010399BC,2024-01-03,MW01,returning,366.54,3,4
ORDMW012401030E73,2024-01-03,MW01,returning,140.61,12,2
ORDMW01240103C78C,2024-01-03,MW01,new,319.91,10,2
ORDMW01240103F6A6,2024-01-03,MW01,returning,121.35,2,2
ORDMW0124010320D0,2024-01-03,MW01,returning,143.25,9,2
ORDMW0124010381BD,2024-01-03,MW01,new,260.78,9,3
ORDMW0124010393A7,2024-01-03,MW01,new,261.88,7,3
ORDMW012401034032,2024-01-03,MW01,returning,302.34,4,1
ORDMW0124010316E9,2024-01-03,MW01,new,269.72,7,3
ORDMW012401039F23,2024-01-03,MW01,new,268.04,4,5
ORDMW012401032CDF,2024-01-03,MW01,returning,300.51,2,4
ORDMW0224010324BE,2024-01-03,MW02,returning,383.30,1,5
ORDMW022401039818,2024-01-03,MW02,returning,41.22,8,1
ORDMW022401038D22,2024-01-03,MW02,returning,117.09,12,1
ORDMW022401031BEA,2024-01-03,MW02,new,127.43,1,2
ORDMW02240103B4CB,2024-01-03,MW02,returning,304.39,6,2
ORDMW0224010331BC,2024-01-03,MW02,new,389.75,8,5
ORDMW02240103D35C,2024-01-03,MW02,returning,463.63,3,2
ORDMW022401033818,2024-01-03,MW02,returning,312.80,7,1
ORDMW0224010397DE,2024-01-03,MW02,new,132.80,4,5
ORDMW02240103BEC6,2024-01-03,MW02,new,103.13,3,5
ORDMW022401038284,2024-01-03,MW02,returning,52.52,9,4
ORDMW02240103C9E1,2024-01-03,MW02,new,104.98,10,4
ORDMW02240103F2A0,2024-01-03,MW02,returning,181.40,9,5
ORDMW0224010362CF,2024-01-03,MW02,returning,322.07,8,2
ORDMW02240103B8E4,2024-01-03,MW02,new,417.65,10,3
ORDMW0224010323F7,2024-01-03,MW02,returning,69.40,1,2
ORDMW02240103B44F,2024-01-03,MW02,returning,220.57,6,5
ORDMW02240103327A,2024-01-03,MW02,new,249.04,2,3
ORDMW0224010364C8,2024-01-03,MW02,returning,498.01,8,1
ORDMW0224010317B5,2024-01-03,MW02,returning,317.70,3,4
ORDMW02240103EA37,2024-01-03,MW02,returning,362.30,1,5
ORDMW02240103680E,2024-01-03,MW02,returning,409.10,1,5
ORDMW02240103BA22,2024-01-03,MW02,returning,469.89,11,1
ORDMW022401035943,2024-01-03,MW02,returning,411.88,2,3
ORDMW022401030A60,2024-01-03,MW02,new,424.00,6,5
ORDMW022401033E59,2024-01-03,MW02,new,419.44,10,4
ORDMW02240103D6D6,2024-01-03,MW02,returning,253.54,5,3
ORDMW022401038C03,2024-01-03,MW02,returning,318.41,4,4
ORDMW02240103EE71,2024-01-03,MW02,returning,143.19,10,1
ORDMW02240103AEA1,2024-01-03,MW02,returning,191.14,11,1
ORDMW022401034393,2024-01-03,MW02,returning,225.69,6,5
ORDMW02240103E524,2024-01-03,MW02,returning,265.52,4,4
ORDMW02240103B48D,2024-01-03,MW02,returning,241.09,9,5
ORDWE01240103FD14,2024-01-03,WE01,new,153.15,2,5
ORDWE01240103598C,2024-01-03,WE01,new,196.08,4,5
ORDWE01240103765A,2024-01-03,WE01,returning,418.48,7,2
ORDWE012401038357,2024-01-03,WE01,returning,448.62,3,1
ORDWE01240103442F,2024-01-03,WE01,returning,175.10,1,4
ORDWE01240103F510,2024-01-03,WE01,new,21.58,12,3
ORDWE01240103FA9B,2024-01-03,WE01,returning,298.57,4,1
ORDWE01240103C4B6,2024-01-03,WE01,new,307.46,4,1
ORDWE01240103FA58,2024-01-03,WE01,returning,402.95,7,5
ORDWE01240103DCF8,2024-01-03,WE01,returning,107.61,6,5
ORDWE01240103C6A1,2024-01-03,WE01,new,51.86,12,5
ORDWE01240103B1EE,2024-01-03,WE01,returning,289.24,3,1
ORDWE01240103C793,2024-01-03,WE01,returning,44.97,12,4
ORDWE01240103535C,2024-01-03,WE01,returning,62.42,6,4
ORDWE012401039245,2024-01-03,WE01,returning,390.49,1,4
ORDWE01240103B09E,2024-01-03,WE01,returning,310.94,8,4
ORDWE012401033F05,2024-01-03,WE01,new,397.55,6,2
ORDWE012401037B8A,2024-01-03,WE01,returning,109.48,8,1
ORDWE0124010310A0,2024-01-03,WE01,new,374.76,12,4
ORDWE012401038FC0,2024-01-03,WE01,returning,418.80,2,1
ORDWE01240103FB3C,2024-01-03,WE01,returning,135.29,9,4
ORDWE01240103EF8F,2024-01-03,WE01,returning,427.85,9,1
ORDWE012401031877,2024-01-03,WE01,returning,186.18,11,5
ORDWE01240103D34D,2024-01-03,WE01,returning,334.77,2,4
ORDWE012401037FE5,2024-01-03,WE01,returning,364.72,11,1
ORDWE01240103EEE5,2024-01-03,WE01,returning,64.87,4,1
ORDWE01240103C594,2024-01-03,WE01,returning,207.15,10,5
ORDWE01240103810E,2024-01-03,WE01,returning,401.61,12,3
ORDWE012401032854,2024-01-03,WE01,returning,222.98,11,1
ORDWE012401033108,2024-01-03,WE01,returning,81.37,10,5
ORDWE012401035F69,2024-01-03,WE01,returning,257.66,11,4
ORDWE01240103288B,2024-01-03,WE01,returning,303.08,8,1
ORDWE01240103E1F9,2024-01-03,WE01,new,188.54,11,1
ORDWE01240103325D,2024-01-03,WE01,returning,330.96,8,5
ORDWE012401035C7B,2024-01-03,WE01,returning,119.73,6,4
ORDWE012401034E55,2024-01-03,WE01,returning,179.01,9,5
ORDWE01240103F586,2024-01-03,WE01,returning,54.46,12,1
ORDWE012401033629,2024-01-03,WE01,new,281.55,7,4
ORDWE01240103699A,2024-01-03,WE01,new,285.14,11,4
ORDWE0124010375C8,2024-01-03,WE01,new,316.91,12,3
ORDWE012401038C65,2024-01-03,WE01,returning,373.95,4,5
ORDWE01240103D538,2024-01-03,WE01,returning,279.29,8,5
ORDWE012401030609,2024-01-03,WE01,new,269.94,1,5
ORDWE012401031349,2024-01-03,WE01,new,33.91,7,5
ORDWE0224010354AA,2024-01-03,WE02,returning,312.74,2,5
ORDWE02240103B390,2024-01-03,WE02,new,22.08,1,4
ORDWE022401034B9E,2024-01-03,WE02,new,372.93,10,1
ORDWE022401037822,2024-01-03,WE02,returning,469.64,12,3
ORDWE022401038BC2,2024-01-03,WE02,returning,43.04,5,3
ORDWE02240103BD10,2024-01-03,WE02,returning,343.83,6,5
ORDWE02240103A80B,2024-01-03,WE02,returning,27.76,5,2
ORDWE02240103826F,2024-01-03,WE02,returning,382.85,8,1
ORDWE0224010346AD,2024-01-03,WE02,returning,393.65,3,5
ORDWE0224010362A0,2024-01-03,WE02,new,100.80,9,4
ORDWE022401038AFF,2024-01-03,WE02,returning,72.86,6,5
ORDWE0224010370C9,2024-01-03,WE02,returning,177.26,10,3
ORDWE022401036835,2024-01-03,WE02,new,361.52,7,4
ORDWE02240103997B,2024-01-03,WE02,returning,466.34,11,1
ORDWE02240103E15D,2024-01-03,WE02,returning,195.58,12,5
ORDWE022401032AE6,2024-01-03,WE02,returning,361.57,10,3
ORDWE02240103CC51,2024-01-03,WE02,new,69.60,6,4
ORDWE02240103E097,2024-01-03,WE02,new,494.82,9,4
ORDWE02240103F967,2024-01-03,WE02,returning,231.31,5,3
ORDWE02240103C2DC,2024-01-03,WE02,returning,355.69,12,3
ORDWE022401031AD5,2024-01-03,WE02,new,197.36,9,4
ORDWE02240103DC66,2024-01-03,WE02,returning,118.59,1,5
ORDWE022401030234,2024-01-03,WE02,returning,36.50,10,4
ORDWE02240103304F,2024-01-03,WE02,returning,156.08,6,2
ORDWE022401032809,2024-01-03,WE02,returning,105.42,1,2
